signal_date,target_date,source_page_start,level,role,level_type,source_doc,source_excerpt,notes,is_exact_institutional_reference
2026-07-22,2026-07-23,79,24000.0,resistance,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Nifty closed weakly below 24,000; resistance 24,000-24,100; immediate support 23,800.",,False
2026-07-22,2026-07-23,79,24100.0,resistance,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Nifty closed weakly below 24,000; resistance 24,000-24,100; immediate support 23,800.",,False
2026-07-22,2026-07-23,79,23800.0,support,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Nifty closed weakly below 24,000; resistance 24,000-24,100; immediate support 23,800.",,False
2026-07-23,2026-07-24,85,23881.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Market opened near institutional level 23,881 and rallied to 24,000; tomorrow bounce around institutional support zones 23,677-23,700; resistance 23,900/24,000.",,True
2026-07-23,2026-07-24,85,23677.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Market opened near institutional level 23,881 and rallied to 24,000; tomorrow bounce around institutional support zones 23,677-23,700; resistance 23,900/24,000.",,True
2026-07-23,2026-07-24,85,23700.0,support,institutional_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Market opened near institutional level 23,881 and rallied to 24,000; tomorrow bounce around institutional support zones 23,677-23,700; resistance 23,900/24,000.",,True
2026-07-23,2026-07-24,85,23900.0,resistance,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Market opened near institutional level 23,881 and rallied to 24,000; tomorrow bounce around institutional support zones 23,677-23,700; resistance 23,900/24,000.",,False
2026-07-23,2026-07-24,85,24000.0,resistance,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Market opened near institutional level 23,881 and rallied to 24,000; tomorrow bounce around institutional support zones 23,677-23,700; resistance 23,900/24,000.",,False
2026-07-25,2026-07-27,102,23700.0,support,technical_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Closed near 23,800; cross 23,800 with 10-15m bullish candle; scale above 23,900/24,000; support 700-800; shorts below 23,600.",,False
2026-07-25,2026-07-27,102,23800.0,pivot,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Closed near 23,800; cross 23,800 with 10-15m bullish candle; scale above 23,900/24,000; support 700-800; shorts below 23,600.",,False
2026-07-25,2026-07-27,102,23900.0,resistance,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Closed near 23,800; cross 23,800 with 10-15m bullish candle; scale above 23,900/24,000; support 700-800; shorts below 23,600.",,False
2026-07-25,2026-07-27,102,24000.0,resistance,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Closed near 23,800; cross 23,800 with 10-15m bullish candle; scale above 23,900/24,000; support 700-800; shorts below 23,600.",,False
2026-07-25,2026-07-27,102,23600.0,breakdown,technical_swing,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Closed near 23,800; cross 23,800 with 10-15m bullish candle; scale above 23,900/24,000; support 700-800; shorts below 23,600.",,False
2026-07-27,2026-07-28,121,23881.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot closed at 24,000; support in 23,881-23,900 institutional zone; breakout above 24,000; shorts only below 23,900 with 15m bearish confirmation.",,True
2026-07-27,2026-07-28,121,23900.0,support,institutional_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot closed at 24,000; support in 23,881-23,900 institutional zone; breakout above 24,000; shorts only below 23,900 with 15m bearish confirmation.",,True
2026-07-27,2026-07-28,121,24000.0,resistance,psychological_breakout,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot closed at 24,000; support in 23,881-23,900 institutional zone; breakout above 24,000; shorts only below 23,900 with 15m bearish confirmation.",,False
2026-07-30,2026-07-31,136,24200.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Key support 24,200 held; immediate support 24,200-24,300; breakout above 24,300-24,400; resistance near 24,500; upper test around 24,357.",,True
2026-07-30,2026-07-31,136,24300.0,support,technical_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Key support 24,200 held; immediate support 24,200-24,300; breakout above 24,300-24,400; resistance near 24,500; upper test around 24,357.",,False
2026-07-30,2026-07-31,136,24357.0,resistance,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Key support 24,200 held; immediate support 24,200-24,300; breakout above 24,300-24,400; resistance near 24,500; upper test around 24,357.",,True
2026-07-30,2026-07-31,136,24400.0,resistance,technical_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Key support 24,200 held; immediate support 24,200-24,300; breakout above 24,300-24,400; resistance near 24,500; upper test around 24,357.",,False
2026-07-30,2026-07-31,136,24500.0,resistance,technical,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Key support 24,200 held; immediate support 24,200-24,300; breakout above 24,300-24,400; resistance near 24,500; upper test around 24,357.",,False
2026-07-31,2026-08-03,149,24357.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional level 24,357 battleground; 24,300 support; supports 24,357/24,300/24,254/24,180; expansion above 24,400/full above 24,500.",,True
2026-07-31,2026-08-03,149,24300.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional level 24,357 battleground; 24,300 support; supports 24,357/24,300/24,254/24,180; expansion above 24,400/full above 24,500.",,True
2026-07-31,2026-08-03,149,24254.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional level 24,357 battleground; 24,300 support; supports 24,357/24,300/24,254/24,180; expansion above 24,400/full above 24,500.",,True
2026-07-31,2026-08-03,149,24180.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional level 24,357 battleground; 24,300 support; supports 24,357/24,300/24,254/24,180; expansion above 24,400/full above 24,500.",,True
2026-07-31,2026-08-03,149,24400.0,resistance,technical_breakout,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional level 24,357 battleground; 24,300 support; supports 24,357/24,300/24,254/24,180; expansion above 24,400/full above 24,500.",,False
2026-07-31,2026-08-03,149,24500.0,resistance,technical_breakout,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional level 24,357 battleground; 24,300 support; supports 24,357/24,300/24,254/24,180; expansion above 24,400/full above 24,500.",,False
2026-08-03,2026-08-04,1,24500.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional support held near 24,500; resistance respected at 24,608; major resistance 24,600; targets 24,700-24,800.",,True
2026-08-03,2026-08-04,1,24608.0,resistance,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional support held near 24,500; resistance respected at 24,608; major resistance 24,600; targets 24,700-24,800.",,True
2026-08-03,2026-08-04,1,24600.0,resistance,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional support held near 24,500; resistance respected at 24,608; major resistance 24,600; targets 24,700-24,800.",,False
2026-08-03,2026-08-04,1,24700.0,target,technical_target,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional support held near 24,500; resistance respected at 24,608; major resistance 24,600; targets 24,700-24,800.",,False
2026-08-03,2026-08-04,1,24800.0,target,technical_target,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Institutional support held near 24,500; resistance respected at 24,608; major resistance 24,600; targets 24,700-24,800.",,False
2026-08-04,2026-08-05,8,24500.0,support,technical_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot closed around 24,614; immediate support 24,500-24,600; upside above 24,600/24,700; positional bullish while 24,180 holds.",,False
2026-08-04,2026-08-05,8,24600.0,support,technical_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot closed around 24,614; immediate support 24,500-24,600; upside above 24,600/24,700; positional bullish while 24,180 holds.",,False
2026-08-04,2026-08-05,8,24700.0,resistance,technical_breakout,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot closed around 24,614; immediate support 24,500-24,600; upside above 24,600/24,700; positional bullish while 24,180 holds.",,False
2026-08-04,2026-08-05,8,24180.0,support,institutional_positional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot closed around 24,614; immediate support 24,500-24,600; upside above 24,600/24,700; positional bullish while 24,180 holds.",,True
2026-08-06,2026-08-07,15,24600.0,support,technical_option_chain,Market_Analysis_03_August_2026_Decoded-combined.pdf,"24,600 turned immediate support floor; upside toward 24,700 and 24,800; downside support 24,500.",,False
2026-08-06,2026-08-07,15,24500.0,support,technical,Market_Analysis_03_August_2026_Decoded-combined.pdf,"24,600 turned immediate support floor; upside toward 24,700 and 24,800; downside support 24,500.",,False
2026-08-06,2026-08-07,15,24700.0,resistance,technical_target,Market_Analysis_03_August_2026_Decoded-combined.pdf,"24,600 turned immediate support floor; upside toward 24,700 and 24,800; downside support 24,500.",,False
2026-08-06,2026-08-07,15,24800.0,target,technical_target,Market_Analysis_03_August_2026_Decoded-combined.pdf,"24,600 turned immediate support floor; upside toward 24,700 and 24,800; downside support 24,500.",,False
2026-08-13,2026-08-14,30,24300.0,support,technical_intraday,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot near 24,400; intraday support around 24,300; institutional positional stop-loss 24,180; resistance 24,500-24,600.",,False
2026-08-13,2026-08-14,30,24180.0,support,institutional_positional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot near 24,400; intraday support around 24,300; institutional positional stop-loss 24,180; resistance 24,500-24,600.",,True
2026-08-13,2026-08-14,30,24500.0,resistance,technical_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot near 24,400; intraday support around 24,300; institutional positional stop-loss 24,180; resistance 24,500-24,600.",,False
2026-08-13,2026-08-14,30,24600.0,resistance,technical_zone,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot near 24,400; intraday support around 24,300; institutional positional stop-loss 24,180; resistance 24,500-24,600.",,False
2026-08-19,2026-08-20,50,24000.0,support,psychological,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot near 24,078; support psychological 24,000; crucial resistances 24,179, 24,200, 24,254.",,False
2026-08-19,2026-08-20,50,24179.0,resistance,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot near 24,078; support psychological 24,000; crucial resistances 24,179, 24,200, 24,254.",,True
2026-08-19,2026-08-20,50,24200.0,resistance,technical,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot near 24,078; support psychological 24,000; crucial resistances 24,179, 24,200, 24,254.",,False
2026-08-19,2026-08-20,50,24254.0,resistance,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Spot near 24,078; support psychological 24,000; crucial resistances 24,179, 24,200, 24,254.",,True
2026-08-20,2026-08-21,65,24179.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Mentioned institutional levels 24,076 and 24,179 and resistance 24,254; supports 24,179/24,076/24,000; resistances 24,254/24,357/24,459.",,True
2026-08-20,2026-08-21,65,24076.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Mentioned institutional levels 24,076 and 24,179 and resistance 24,254; supports 24,179/24,076/24,000; resistances 24,254/24,357/24,459.",,True
2026-08-20,2026-08-21,65,24000.0,support,psychological,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Mentioned institutional levels 24,076 and 24,179 and resistance 24,254; supports 24,179/24,076/24,000; resistances 24,254/24,357/24,459.",,False
2026-08-20,2026-08-21,65,24254.0,resistance,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Mentioned institutional levels 24,076 and 24,179 and resistance 24,254; supports 24,179/24,076/24,000; resistances 24,254/24,357/24,459.",,True
2026-08-20,2026-08-21,65,24357.0,resistance,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Mentioned institutional levels 24,076 and 24,179 and resistance 24,254; supports 24,179/24,076/24,000; resistances 24,254/24,357/24,459.",,True
2026-08-20,2026-08-21,65,24459.0,resistance,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Mentioned institutional levels 24,076 and 24,179 and resistance 24,254; supports 24,179/24,076/24,000; resistances 24,254/24,357/24,459.",,True
2026-08-22,2026-08-24,72,24180.0,support,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Tight 180-254 range; support 24,180; resistances 24,357, 24,459, 24,500; breakout above 24,254/24,357 with 10-15m confirmation.",,True
2026-08-22,2026-08-24,72,24254.0,resistance,institutional_breakout,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Tight 180-254 range; support 24,180; resistances 24,357, 24,459, 24,500; breakout above 24,254/24,357 with 10-15m confirmation.",,True
2026-08-22,2026-08-24,72,24357.0,resistance,institutional,Market_Analysis_03_August_2026_Decoded-combined.pdf,"Tight 180-254 range; support 24,180; resistances 24,357, 24,459, 24,500; breakout above 24,254/24,357 with 10-15m confirmation.",,True
